accuracy_pct,speed_score,completed,hints_used,attempts,current_difficulty,rolling_score,target_difficulty
80.34,69.34,1.0,0,2,1,67.02,1
71.33,58.48,1.0,0,1,4,67.58,4
64.26,40.29,1.0,1,1,3,55.13,3
91.32,71.34,1.0,0,1,1,89.68,2
79.47,84.96,1.0,0,2,3,72.55,3
65.3,76.8,0.0,1,3,2,43.88,1
63.53,42.86,1.0,0,3,1,59.15,1
71.02,41.13,1.0,0,1,1,56.41,1
73.27,59.75,1.0,0,3,1,73.27,1
56.8,56.7,1.0,1,2,3,55.82,2
43.6,45.79,0.0,3,5,2,18.34,1
63.82,41.41,1.0,1,2,3,56.44,3
74.04,49.57,1.0,1,2,2,59.11,2
75.55,55.31,1.0,1,1,3,66.37,3
49.47,63.74,1.0,1,4,2,52.25,1
65.45,19.15,1.0,1,5,4,53.91,3
70.53,80.13,1.0,1,2,2,61.12,2
59.99,41.86,1.0,0,1,2,56.81,1
78.86,49.11,1.0,1,2,2,68.85,2
77.2,60.3,1.0,0,1,1,69.84,1
84.68,57.31,1.0,1,1,2,67.25,2
76.03,56.2,1.0,0,2,4,70.06,4
87.88,66.13,1.0,0,1,3,80.99,4
60.94,44.08,1.0,1,1,1,56.42,1
91.21,54.79,1.0,0,1,2,78.34,2
70.1,35.31,0.0,2,4,2,33.33,1
67.48,59.01,0.0,0,3,3,43.64,2
47.82,10.0,0.0,2,5,4,13.4,3
86.42,67.55,1.0,0,2,2,76.13,3
65.41,68.21,0.0,0,3,4,47.25,3
56.1,56.33,1.0,0,2,3,57.2,2
66.54,57.28,1.0,0,5,5,66.33,5
59.63,45.69,1.0,0,2,3,55.28,2
64.23,36.84,1.0,1,2,4,53.24,4
57.61,29.55,0.0,2,3,1,21.55,1
72.71,63.11,1.0,1,1,2,65.61,2
24.24,23.75,1.0,3,6,4,29.8,3
81.25,28.25,1.0,0,1,1,63.51,1
59.61,51.2,1.0,2,1,3,47.49,2
81.7,45.39,1.0,0,1,1,65.0,1
72.64,43.18,0.0,0,3,3,46.51,2
66.74,57.19,1.0,2,2,3,56.6,3
100.0,66.45,1.0,0,1,1,79.81,2
58.63,40.64,1.0,1,3,2,51.95,1
78.86,69.76,1.0,0,1,3,68.64,3
65.57,22.25,1.0,0,3,3,61.64,2
75.47,69.43,1.0,0,1,1,69.27,1
72.3,26.23,1.0,1,1,1,54.33,1
79.65,40.13,1.0,0,3,2,70.33,2
95.81,64.63,1.0,0,1,1,76.98,2
48.39,39.62,0.0,1,5,2,27.88,1
60.62,50.53,1.0,2,6,2,58.55,2
62.27,49.33,1.0,1,1,2,52.38,2
56.05,10.82,1.0,2,2,4,43.32,3
56.38,27.76,1.0,2,2,4,52.67,3
70.44,57.1,1.0,1,2,2,59.5,2
63.78,36.05,0.0,0,6,1,40.07,1
67.66,46.49,1.0,1,7,2,58.23,2
70.11,58.02,1.0,1,3,2,66.75,2
88.76,75.71,1.0,0,2,1,73.79,2
77.23,79.43,1.0,0,1,1,73.62,1
61.78,50.46,0.0,2,2,4,30.01,3
59.24,69.91,1.0,0,2,3,59.16,2
75.61,49.9,1.0,0,3,2,68.83,2
80.1,49.97,1.0,0,2,2,74.58,2
74.16,49.3,1.0,2,2,2,60.53,2
84.7,35.64,1.0,0,1,3,68.3,3
59.16,26.03,1.0,0,3,3,48.79,2
78.7,36.09,1.0,0,2,3,61.72,3
78.76,66.09,1.0,0,1,2,72.88,2
74.66,36.44,1.0,1,1,3,61.88,3
48.55,36.5,1.0,4,4,2,38.95,1
43.5,39.9,0.0,3,4,4,20.67,3
70.01,37.87,1.0,1,4,3,58.79,3
86.75,69.13,1.0,0,1,2,74.22,3
46.35,44.0,0.0,3,3,4,18.29,3
55.72,15.81,1.0,0,3,4,50.66,3
54.91,33.53,1.0,2,5,2,50.04,1
72.12,36.98,1.0,2,1,2,49.87,2
64.84,61.64,1.0,0,2,2,68.73,2
61.01,48.31,0.0,1,1,1,30.39,1
83.48,61.27,1.0,0,1,1,69.63,1
100.0,56.81,1.0,0,3,1,82.91,1
82.64,77.13,1.0,0,1,1,79.37,1
50.09,42.36,0.0,1,3,3,31.12,2
71.5,52.39,1.0,0,2,1,66.03,1
100.0,67.59,1.0,0,1,1,84.66,2
44.07,20.66,1.0,2,4,4,33.67,3
59.51,24.58,1.0,1,3,5,49.75,4
82.98,35.42,1.0,1,3,2,63.33,2
68.83,39.58,1.0,2,1,3,44.73,3
39.06,27.39,0.0,4,2,4,8.44,3
66.43,34.07,1.0,0,5,2,57.29,2
55.37,75.07,1.0,0,6,2,68.66,1
83.56,76.12,1.0,0,3,2,68.07,2
67.05,23.62,1.0,0,2,4,57.52,3
100.0,57.93,1.0,0,1,1,79.7,1
40.42,30.03,0.0,3,2,4,12.46,3
60.57,45.62,1.0,1,3,2,56.44,2
56.63,60.19,1.0,1,1,3,55.56,2
56.66,48.77,1.0,0,3,3,54.46,2
68.33,77.74,1.0,0,1,2,74.02,2
82.99,68.76,1.0,0,2,3,75.89,3
72.89,64.29,1.0,0,1,1,67.04,1
51.21,45.92,1.0,4,4,4,39.37,3
56.18,41.2,1.0,1,3,1,49.11,1
97.37,60.46,1.0,0,1,1,84.99,2
81.01,44.18,1.0,0,2,3,67.73,3
90.26,66.28,1.0,0,2,1,78.43,2
56.15,34.93,1.0,0,2,3,57.73,2
82.41,43.31,1.0,0,2,2,73.99,2
67.76,32.23,1.0,0,2,3,62.97,3
67.32,65.82,1.0,0,1,3,69.25,3
39.2,38.88,1.0,3,4,3,29.1,2
58.53,27.32,1.0,2,4,4,45.67,3
36.85,22.11,0.0,3,3,5,9.57,4
100.0,72.85,1.0,0,2,1,87.58,2
84.29,55.1,1.0,1,2,3,65.49,3
89.59,55.15,1.0,0,2,2,74.6,2
40.8,49.37,0.0,2,3,5,27.02,4
92.79,66.18,1.0,0,2,1,80.19,2
75.68,54.0,1.0,0,1,3,69.79,3
70.0,74.17,1.0,0,1,3,76.33,3
71.27,43.01,1.0,2,1,2,57.32,2
72.69,62.86,0.0,1,2,3,47.71,2
81.58,50.53,1.0,0,1,2,68.64,2
50.87,24.18,1.0,2,1,2,45.14,1
82.32,67.52,1.0,1,1,2,71.25,2
58.78,50.91,1.0,1,2,1,56.31,1
51.64,45.77,1.0,4,1,3,35.35,2
93.3,98.94,1.0,1,1,2,85.98,3
78.41,49.73,1.0,0,2,2,62.1,2
80.16,44.08,1.0,0,1,2,59.23,2
44.1,35.24,0.0,2,4,5,31.4,4
53.24,32.93,0.0,2,4,3,22.03,2
78.17,48.37,1.0,0,1,2,63.89,2
53.4,34.66,1.0,1,5,3,50.85,2
64.33,54.52,1.0,0,1,2,62.47,2
89.28,78.17,1.0,0,1,1,78.9,2
78.14,56.27,1.0,0,3,3,64.79,3
79.58,75.14,1.0,0,2,1,73.72,1
78.8,34.27,1.0,0,2,1,67.03,1
67.33,61.34,1.0,2,2,3,53.16,3
94.54,52.67,1.0,0,2,1,78.69,1
47.64,31.11,0.0,4,4,5,17.8,4
73.29,40.32,1.0,0,1,5,62.14,5
65.16,54.34,1.0,2,2,4,50.32,4
100.0,97.3,1.0,1,1,1,88.59,2
65.69,35.9,1.0,2,3,3,44.32,3
65.03,37.34,1.0,0,3,2,51.06,2
71.37,49.79,1.0,1,2,2,59.61,2
75.12,58.34,1.0,1,2,3,69.48,3
92.65,68.29,1.0,0,2,1,75.12,2
100.0,80.88,1.0,0,1,1,84.37,2
69.77,29.52,1.0,0,3,3,55.33,2
60.45,67.41,1.0,1,2,3,58.17,3
40.97,26.95,0.0,4,2,4,5.77,3
63.29,14.13,0.0,0,4,4,30.46,3
58.73,40.78,1.0,1,1,2,52.84,1
70.94,59.68,1.0,0,2,2,68.79,2
73.68,31.16,1.0,0,2,4,58.11,4
59.58,41.29,0.0,0,2,3,35.73,2
43.4,43.07,0.0,2,7,4,22.37,3
80.75,53.63,1.0,0,2,2,71.96,2
82.08,71.52,1.0,0,1,2,72.92,2
63.61,63.11,1.0,1,5,3,57.63,3
49.19,52.36,1.0,4,2,5,43.58,4
73.45,52.01,1.0,1,3,1,60.92,1
100.0,62.04,1.0,0,2,2,78.06,3
75.02,53.16,1.0,0,2,1,64.97,1
65.63,26.05,0.0,1,2,3,38.02,2
78.34,43.25,1.0,0,2,2,66.34,2
74.5,68.64,1.0,0,2,1,69.21,1
46.41,36.57,1.0,3,3,2,28.55,1
62.56,69.73,1.0,0,3,1,62.12,1
70.68,51.16,1.0,1,1,3,63.03,3
80.98,50.31,1.0,0,1,3,73.75,3
60.83,50.29,1.0,2,2,3,56.41,3
33.54,36.29,0.0,2,6,3,8.63,2
61.17,57.79,1.0,0,4,4,60.39,4
99.19,78.83,1.0,0,1,3,91.47,4
76.46,62.58,1.0,0,1,1,72.83,1
66.83,46.17,1.0,1,1,3,57.46,3
85.44,30.5,1.0,0,2,1,66.83,1
94.08,54.14,1.0,0,1,4,75.87,4
43.95,15.94,0.0,3,6,4,15.91,3
66.73,62.61,1.0,0,2,1,71.43,1
49.03,12.87,1.0,3,2,3,34.43,2
82.85,61.95,1.0,0,2,1,73.31,1
79.31,56.05,1.0,0,1,2,67.32,2
84.82,72.41,0.0,0,2,1,56.64,1
87.55,62.29,1.0,0,1,2,79.52,3
88.7,68.91,1.0,0,1,3,78.59,4
99.91,83.2,1.0,1,1,1,83.43,2
100.0,71.16,1.0,0,1,2,79.17,3
54.26,28.86,1.0,3,5,4,42.97,3
49.42,36.0,1.0,4,1,3,42.42,2
72.52,28.88,1.0,1,3,2,62.37,1
88.76,58.53,1.0,0,1,1,73.91,1
39.66,11.25,0.0,2,2,3,7.24,2
65.16,73.61,1.0,1,2,4,61.55,4
75.25,86.66,1.0,0,1,2,80.29,2
49.83,41.57,1.0,2,2,4,45.37,3
67.3,58.45,1.0,1,4,2,62.17,2
35.97,49.94,0.0,2,3,5,21.18,4
39.68,50.99,0.0,1,4,5,23.27,4
88.58,72.0,1.0,0,1,2,75.62,3
62.71,28.54,1.0,0,3,3,57.66,2
100.0,59.95,1.0,0,1,1,80.52,1
72.41,46.71,1.0,1,2,1,59.72,1
49.85,62.6,0.0,3,2,4,33.67,3
100.0,81.91,1.0,0,1,1,88.76,2
64.31,42.21,1.0,0,2,1,60.01,1
100.0,71.6,1.0,0,1,1,72.49,2
100.0,69.1,1.0,0,1,1,75.89,2
88.62,64.54,1.0,0,1,3,75.82,4
67.95,42.58,1.0,2,1,3,47.73,3
74.64,84.66,1.0,2,2,3,59.76,3
55.44,18.18,1.0,2,1,3,45.91,2
52.72,51.2,1.0,2,3,3,43.85,2
100.0,77.16,1.0,0,1,1,85.64,2
51.01,33.98,0.0,3,3,3,26.56,2
84.92,55.72,1.0,0,1,2,72.62,2
64.89,38.15,1.0,1,2,3,54.49,3
70.34,47.72,1.0,1,4,4,63.2,4
61.45,51.96,1.0,1,2,2,49.31,2
73.51,52.59,1.0,2,1,1,54.55,1
84.65,89.75,1.0,0,4,3,74.61,3
59.29,32.66,0.0,1,2,4,29.38,3
66.3,21.51,0.0,1,3,3,29.55,2
52.9,49.32,1.0,2,3,3,51.71,2
63.1,18.47,1.0,1,4,3,46.48,2
31.65,21.82,1.0,2,5,4,28.78,3
55.61,38.52,1.0,0,3,4,55.22,3
89.96,71.52,1.0,0,3,1,79.72,2
58.05,57.45,1.0,2,1,4,57.09,3
95.01,53.1,1.0,0,1,1,80.23,1
98.55,50.88,1.0,0,1,1,86.24,1
96.18,54.5,1.0,0,1,1,82.53,1
77.37,38.33,1.0,1,1,2,63.57,2
52.31,34.79,0.0,2,2,3,23.18,2
85.89,100.0,1.0,1,1,2,88.88,3
100.0,53.49,1.0,0,2,1,71.23,1
52.85,33.16,1.0,3,4,2,46.68,1
67.77,46.53,1.0,0,4,1,64.21,1
48.28,55.18,1.0,1,3,2,54.75,1
78.09,51.71,1.0,0,3,1,72.44,1
92.48,57.07,1.0,0,1,1,77.07,1
73.96,40.75,1.0,0,2,2,61.4,2
59.54,22.42,1.0,0,4,2,54.28,1
61.86,35.01,1.0,0,2,1,54.62,1
95.6,69.42,1.0,1,1,1,74.73,2
74.72,39.91,1.0,0,2,2,59.54,2
53.67,58.59,0.0,3,1,3,26.86,2
66.41,45.05,1.0,2,3,2,52.77,2
88.61,72.2,1.0,1,1,1,71.73,2
69.56,59.24,0.0,2,4,3,36.79,2
76.05,56.03,1.0,0,1,2,66.64,2
69.95,63.64,1.0,1,2,1,57.9,1
98.76,74.68,1.0,0,1,1,86.32,2
72.09,48.64,1.0,0,1,2,59.07,2
69.9,51.67,1.0,2,1,1,55.52,1
80.02,79.79,1.0,0,2,3,85.61,3
75.66,55.64,1.0,0,2,2,68.93,2
71.58,49.68,1.0,1,2,3,60.22,3
79.97,47.55,1.0,0,4,3,60.24,3
63.76,36.12,1.0,1,3,4,51.44,4
99.53,56.07,1.0,0,1,1,75.09,1
19.68,25.05,0.0,2,3,5,10.92,4
82.53,72.11,1.0,0,2,1,80.03,1
70.83,63.79,1.0,2,1,3,54.49,3
89.39,51.84,1.0,0,2,2,63.63,2
65.93,29.16,1.0,1,2,3,51.95,2
79.97,72.18,1.0,0,4,1,74.78,1
64.96,78.97,1.0,0,2,2,73.98,2
56.8,46.77,1.0,1,4,5,59.04,4
58.77,29.09,1.0,1,3,2,51.75,1
72.05,55.33,1.0,1,1,3,65.53,3
80.3,62.23,1.0,0,1,2,70.61,2
82.71,66.36,1.0,0,1,5,67.42,5
45.54,51.47,1.0,3,2,4,41.47,3
77.42,53.19,1.0,0,2,1,70.92,1
43.2,28.38,1.0,3,6,3,31.27,2
30.47,23.09,0.0,4,1,3,7.31,2
83.58,37.31,1.0,1,2,2,64.14,2
86.38,80.91,1.0,0,1,1,76.94,2
72.4,45.33,1.0,1,1,3,63.27,3
93.18,53.11,1.0,0,1,2,72.91,2
63.92,32.69,0.0,0,1,3,36.52,2
89.88,50.26,1.0,0,3,1,73.21,1
78.61,49.12,1.0,0,3,2,68.3,2
30.31,36.18,0.0,2,3,5,17.77,4
54.52,55.6,1.0,4,3,2,40.46,1
79.29,33.23,1.0,0,1,2,72.45,2
58.96,23.32,1.0,1,2,2,41.63,1
70.82,27.55,1.0,0,3,3,65.38,2
77.03,63.96,1.0,0,3,2,70.67,2
78.9,52.95,1.0,0,1,2,69.72,2
85.14,73.39,1.0,0,2,2,74.75,3
87.97,57.71,1.0,0,2,2,71.6,2
69.46,51.5,0.0,1,1,1,42.1,1
78.02,69.28,1.0,0,1,4,70.39,4
80.13,81.87,1.0,0,2,1,73.66,1
72.57,25.39,1.0,2,2,3,61.56,2
35.48,11.22,0.0,2,3,3,6.41,2
50.09,44.24,1.0,2,6,3,41.1,2
55.35,33.7,1.0,1,3,4,42.76,3
58.2,68.62,1.0,1,5,2,59.18,1
53.2,32.55,0.0,2,4,3,16.44,2
70.96,62.3,1.0,2,3,1,68.29,1
78.09,41.05,1.0,0,1,3,71.1,3
65.78,51.31,1.0,1,2,4,60.4,4
38.35,26.06,1.0,1,4,3,31.8,2
88.7,53.95,1.0,0,1,3,74.22,3
69.66,36.9,1.0,2,1,3,51.74,3
85.26,63.27,1.0,0,1,1,74.69,2
68.94,25.45,0.0,2,2,2,22.99,1
62.21,63.38,0.0,2,3,1,35.97,1
55.02,49.84,1.0,2,2,1,52.26,1
65.95,66.05,1.0,1,2,3,62.99,3
70.9,67.4,1.0,1,1,2,68.58,2
58.75,34.26,1.0,0,2,1,49.62,1
61.58,44.06,1.0,1,1,5,53.43,5
79.88,44.49,1.0,0,2,3,75.46,3
65.29,64.07,1.0,0,1,2,62.31,2
92.38,49.41,1.0,1,2,1,69.6,1
72.48,43.75,0.0,1,3,1,33.82,1
66.22,48.28,0.0,0,6,3,38.01,2
85.53,63.79,1.0,1,1,4,66.95,5
92.33,69.8,1.0,0,1,1,86.39,2
42.65,10.0,0.0,2,4,5,13.87,4
47.13,40.32,1.0,3,5,3,35.91,2
65.93,54.78,1.0,0,2,3,62.27,3
89.88,64.36,1.0,0,1,1,68.44,2
73.21,55.0,1.0,0,1,1,64.19,1
68.48,54.03,1.0,0,3,3,57.49,3
59.35,23.61,1.0,1,4,3,47.24,2
97.15,79.81,1.0,0,1,1,85.85,2
67.52,25.18,0.0,0,2,3,40.89,2
55.36,51.32,1.0,0,4,3,57.7,2
56.26,50.5,1.0,0,4,3,64.65,2
69.78,69.24,1.0,2,1,2,59.96,2
70.32,49.16,1.0,0,1,3,65.46,3
96.47,64.21,1.0,0,2,1,81.63,2
97.56,74.71,1.0,0,1,2,87.16,3
84.58,62.23,1.0,1,3,2,66.1,2
67.17,48.23,1.0,1,2,3,61.35,3
67.67,39.11,1.0,0,4,3,63.63,3
63.64,34.88,1.0,0,3,3,58.8,3
87.94,80.68,1.0,1,1,1,70.83,2
57.45,49.83,1.0,0,4,3,55.97,2
77.56,64.24,1.0,0,2,1,71.51,1
52.85,34.57,1.0,3,5,3,41.21,2
71.91,64.77,1.0,0,1,3,73.8,3
82.77,63.68,1.0,0,1,1,69.81,1
64.2,55.7,1.0,1,1,5,57.58,5
83.37,37.36,1.0,0,1,2,69.94,2
99.56,55.93,1.0,0,1,1,76.62,1
71.52,36.7,1.0,2,3,2,42.03,2
50.01,10.22,0.0,2,5,3,16.14,2
71.53,75.03,1.0,0,3,2,69.82,2
65.01,50.53,1.0,2,1,2,47.36,2
69.17,67.17,1.0,2,1,3,64.34,3
87.06,60.97,1.0,0,1,2,77.08,3
